"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2023","43,720.00","43,840.00","43,840.00","43,610.00","0.33K","-1.11%"
"12/22/2023","44,210.00","44,080.00","44,250.00","44,000.00","0.67K","0.23%"
"12/21/2023","44,110.00","44,110.00","44,160.00","44,080.00","0.31K","0.25%"
"12/20/2023","44,000.00","44,000.00","44,000.00","44,000.00","0.01K","0.00%"
"12/19/2023","44,000.00","44,000.00","44,000.00","44,000.00","0.02K","-0.95%"
"12/18/2023","44,420.00","44,420.00","44,420.00","44,420.00","","0.50%"
"12/15/2023","44,200.00","44,200.00","44,200.00","44,200.00","","1.31%"
"12/14/2023","43,630.00","43,450.00","43,980.00","43,450.00","0.33K","0.51%"
"12/13/2023","43,410.00","43,570.00","43,680.00","43,400.00","0.21K","-0.87%"
"12/12/2023","43,790.00","43,600.00","43,830.00","43,590.00","0.42K","0.76%"
"12/11/2023","43,460.00","43,420.00","43,520.00","43,420.00","0.08K","-0.32%"
"12/08/2023","43,600.00","43,570.00","43,650.00","43,570.00","0.14K","0.09%"
"12/07/2023","43,560.00","43,490.00","43,590.00","43,490.00","0.23K","-0.43%"
"12/06/2023","43,750.00","43,700.00","43,890.00","43,690.00","0.25K","0.34%"
"12/05/2023","43,600.00","43,450.00","43,710.00","43,450.00","0.09K","0.28%"
"12/04/2023","43,480.00","43,540.00","43,550.00","43,380.00","0.15K","-0.16%"
"12/01/2023","43,550.00","43,400.00","43,550.00","43,190.00","0.49K","0.28%"
"11/30/2023","43,430.00","43,600.00","43,600.00","43,380.00","0.39K","-0.69%"
"11/29/2023","43,730.00","43,850.00","43,900.00","43,660.00","0.36K","0.21%"
"11/28/2023","43,640.00","44,130.00","44,130.00","42,150.00","0.38K","-1.49%"
"11/24/2023","44,300.00","44,460.00","44,460.00","44,290.00","0.35K","-0.32%"
"11/23/2023","44,440.00","44,550.00","44,630.00","44,400.00","0.28K","-0.09%"
"11/22/2023","44,480.00","44,400.00","44,500.00","44,300.00","0.27K","0.04%"
"11/21/2023","44,460.00","44,470.00","44,540.00","44,330.00","0.16K","1.51%"
"11/20/2023","43,800.00","44,350.00","44,350.00","44,350.00","","-0.64%"
"11/17/2023","44,080.00","44,080.00","44,080.00","44,080.00","","-0.14%"
"11/16/2023","44,140.00","44,140.00","44,140.00","44,140.00","","1.68%"
"11/15/2023","43,410.00","43,410.00","43,410.00","43,400.00","0.05K","2.33%"
"11/13/2023","42,420.00","43,500.00","43,500.00","42,200.00","0.68K","-2.12%"
"11/12/2023","43,340.00","43,340.00","43,340.00","43,340.00","","-1.05%"
"11/10/2023","43,800.00","43,900.00","44,100.00","43,640.00","0.31K","-0.09%"
"11/09/2023","43,840.00","43,600.00","43,900.00","43,500.00","0.36K","0.25%"
"11/08/2023","43,730.00","43,960.00","43,960.00","43,610.00","0.19K","-0.27%"
"11/07/2023","43,850.00","43,450.00","43,900.00","43,370.00","0.57K","0.53%"
"11/06/2023","43,620.00","44,000.00","44,850.00","43,550.00","0.90K","-1.11%"
"11/03/2023","44,110.00","44,400.00","44,400.00","44,010.00","0.30K","-0.61%"
"11/02/2023","44,380.00","44,300.00","44,390.00","43,990.00","0.88K","0.82%"
"11/01/2023","44,020.00","44,200.00","44,250.00","43,980.00","0.45K","-0.61%"
"10/31/2023","44,290.00","44,300.00","44,400.00","44,070.00","0.55K","-0.07%"
"10/30/2023","44,320.00","44,200.00","44,600.00","44,200.00","0.75K","0.68%"
"10/27/2023","44,020.00","44,380.00","44,700.00","44,020.00","0.95K","-0.83%"
"10/26/2023","44,390.00","44,030.00","44,410.00","43,910.00","1.03K","1.09%"
"10/25/2023","43,910.00","43,900.00","44,220.00","43,850.00","0.68K","-0.11%"
"10/23/2023","43,960.00","44,230.00","44,250.00","43,950.00","0.83K","-0.99%"
"10/20/2023","44,400.00","44,400.00","44,400.00","44,400.00","1.32K","-0.25%"
"10/19/2023","44,510.00","44,510.00","44,510.00","44,510.00","","-1.13%"
"10/18/2023","45,020.00","45,020.00","45,020.00","45,020.00","","0.42%"
"10/17/2023","44,830.00","44,830.00","44,830.00","44,830.00","","1.68%"
"10/16/2023","44,090.00","44,550.00","44,800.00","44,010.00","0.39K","-0.52%"
"10/13/2023","44,320.00","44,600.00","44,600.00","44,060.00","0.36K","-0.87%"
"10/12/2023","44,710.00","45,200.00","45,200.00","44,650.00","0.80K","-1.45%"
"10/11/2023","45,370.00","45,650.00","45,750.00","45,270.00","0.42K","-0.20%"
"10/10/2023","45,460.00","45,540.00","45,600.00","45,300.00","0.57K","-0.24%"
"10/09/2023","45,570.00","45,570.00","45,870.00","45,500.00","0.48K","-1.13%"
"10/06/2023","46,090.00","46,240.00","46,300.00","44,210.00","0.43K","-0.07%"
"10/05/2023","46,120.00","45,610.00","46,160.00","45,610.00","0.48K","1.01%"
"10/04/2023","45,660.00","45,470.00","45,690.00","45,320.00","0.36K","0.40%"
"10/03/2023","45,480.00","45,610.00","45,610.00","45,320.00","0.74K","-0.63%"
"09/29/2023","45,770.00","46,180.00","46,180.00","45,770.00","0.78K","-0.84%"
"09/28/2023","46,160.00","46,440.00","46,630.00","45,200.00","0.41K","-0.71%"
"09/27/2023","46,490.00","46,280.00","46,550.00","46,190.00","0.73K","0.32%"
"09/26/2023","46,340.00","46,510.00","46,580.00","46,300.00","0.58K","-0.47%"
"09/25/2023","46,560.00","47,870.00","47,870.00","46,500.00","1.05K","-0.21%"
"09/22/2023","46,660.00","46,890.00","46,890.00","46,570.00","0.87K","-0.32%"
"09/21/2023","46,810.00","46,800.00","47,120.00","46,670.00","0.68K","-1.24%"
"09/20/2023","47,400.00","46,900.00","46,900.00","46,900.00","","-0.67%"
"09/18/2023","47,720.00","47,720.00","47,720.00","47,720.00","","0.57%"
"09/15/2023","47,450.00","47,450.00","47,450.00","47,450.00","","4.95%"
"09/14/2023","45,210.00","45,210.00","45,210.00","45,210.00","0.01K","-0.70%"
"09/13/2023","45,530.00","45,680.00","46,690.00","45,400.00","0.42K","-0.33%"
"09/12/2023","45,680.00","43,930.00","46,280.00","43,930.00","1.03K","-1.38%"
"09/11/2023","46,320.00","46,650.00","46,820.00","46,240.00","0.97K","-0.58%"
"09/08/2023","46,590.00","46,330.00","46,780.00","46,310.00","1.08K","0.47%"
"09/07/2023","46,370.00","46,420.00","46,650.00","46,310.00","0.67K","-0.09%"
"09/06/2023","46,410.00","46,850.00","46,850.00","46,230.00","0.97K","-0.90%"
"09/05/2023","46,830.00","46,900.00","46,970.00","46,790.00","0.53K","0.00%"
"09/04/2023","46,830.00","46,640.00","46,920.00","46,410.00","0.75K","0.45%"
"09/01/2023","46,620.00","46,660.00","46,660.00","46,440.00","0.38K","0.00%"
"08/31/2023","46,620.00","46,460.00","46,660.00","46,460.00","0.71K","0.63%"
"08/30/2023","46,330.00","46,320.00","46,410.00","46,100.00","0.63K","-0.19%"
"08/29/2023","46,420.00","46,450.00","46,510.00","46,320.00","0.78K","0.11%"
"08/28/2023","46,370.00","46,270.00","46,480.00","46,220.00","0.62K","0.54%"
"08/25/2023","46,120.00","46,120.00","46,250.00","46,070.00","0.80K","0.13%"
"08/24/2023","46,060.00","45,720.00","46,130.00","45,720.00","0.78K","0.94%"
"08/23/2023","45,630.00","45,750.00","45,750.00","45,590.00","0.53K","-0.07%"
"08/22/2023","45,660.00","45,700.00","46,200.00","45,580.00","0.92K","-0.09%"
"08/21/2023","45,700.00","45,770.00","45,850.00","45,510.00","1.06K","-0.44%"
"08/18/2023","45,900.00","45,900.00","45,900.00","45,900.00","0.57K","5.52%"
"08/16/2023","43,500.00","43,500.00","43,500.00","43,500.00","0.01K","-4.48%"
"08/14/2023","45,540.00","45,540.00","45,540.00","45,540.00","","5.76%"
"08/11/2023","43,060.00","44,350.00","44,600.00","42,700.00","0.79K","-3.00%"
"08/10/2023","44,390.00","44,520.00","44,620.00","44,310.00","0.70K","-0.60%"
"08/09/2023","44,660.00","44,670.00","44,830.00","44,600.00","0.58K","-0.20%"
"08/08/2023","44,750.00","44,580.00","44,750.00","44,310.00","0.85K","0.22%"
"08/07/2023","44,650.00","44,510.00","44,910.00","44,510.00","1.36K","0.45%"
"08/04/2023","44,450.00","44,400.00","44,480.00","44,260.00","0.61K","0.02%"
"08/03/2023","44,440.00","44,570.00","44,710.00","44,400.00","0.78K","-0.40%"
"08/02/2023","44,620.00","44,610.00","44,790.00","44,590.00","0.64K","0.38%"
"08/01/2023","44,450.00","44,500.00","44,680.00","44,390.00","0.89K","0.02%"
"07/31/2023","44,440.00","44,360.00","44,490.00","44,150.00","1.40K","0.47%"
"07/28/2023","44,230.00","44,050.00","44,270.00","43,970.00","0.61K","0.48%"
"07/27/2023","44,020.00","43,710.00","44,050.00","43,710.00","0.89K","0.36%"
"07/26/2023","43,860.00","44,750.00","44,750.00","43,840.00","0.82K","-0.70%"
"07/25/2023","44,170.00","43,820.00","44,220.00","43,820.00","1.49K","0.68%"
"07/24/2023","43,870.00","44,350.00","44,350.00","43,830.00","1.00K","-1.13%"
"07/21/2023","44,370.00","44,500.00","44,560.00","44,230.00","1.00K","-0.72%"
"07/20/2023","44,690.00","44,530.00","44,530.00","44,530.00","","1.27%"
"07/18/2023","44,130.00","44,260.00","44,270.00","44,000.00","0.16K","2.77%"
"07/14/2023","42,940.00","44,580.00","44,580.00","42,300.00","0.43K","-4.02%"
"07/13/2023","44,740.00","45,700.00","45,700.00","44,700.00","0.36K","-2.48%"
"07/12/2023","45,880.00","45,980.00","46,070.00","45,700.00","0.94K","0.17%"
"07/11/2023","45,800.00","45,350.00","46,000.00","45,250.00","1.21K","0.99%"
"07/10/2023","45,350.00","45,450.00","45,450.00","45,280.00","0.29K","-0.55%"
"07/07/2023","45,600.00","45,720.00","47,700.00","44,600.00","1.02K","-0.46%"
"07/06/2023","45,810.00","45,980.00","46,030.00","45,750.00","1.01K","-0.11%"
"07/05/2023","45,860.00","45,680.00","45,900.00","45,340.00","1.91K","0.39%"
"07/04/2023","45,680.00","45,450.00","45,730.00","45,230.00","0.85K","0.18%"
"07/03/2023","45,600.00","46,050.00","46,050.00","45,520.00","0.65K","-1.23%"
"06/30/2023","46,170.00","46,230.00","46,500.00","46,010.00","1.32K","0.00%"
"06/28/2023","46,170.00","46,050.00","46,270.00","45,910.00","0.94K","0.02%"
"06/27/2023","46,160.00","46,050.00","46,280.00","46,040.00","0.95K","0.35%"
"06/26/2023","46,000.00","46,400.00","46,770.00","45,960.00","1.51K","-0.90%"
"06/23/2023","46,420.00","46,150.00","46,530.00","46,100.00","0.67K","0.28%"
"06/22/2023","46,290.00","46,520.00","46,570.00","46,250.00","0.43K","-0.49%"
"06/21/2023","46,520.00","46,520.00","46,770.00","46,470.00","1.15K","-5.06%"
"06/20/2023","49,000.00","49,000.00","49,000.00","49,000.00","0.08K","-0.67%"
"06/19/2023","49,330.00","49,100.00","49,500.00","49,100.00","0.21K","2.39%"
"06/16/2023","48,180.00","48,180.00","48,180.00","48,180.00","","0.38%"
"06/15/2023","48,000.00","48,000.00","48,000.00","48,000.00","","-0.37%"
"06/14/2023","48,180.00","48,100.00","48,200.00","48,100.00","0.19K","0.56%"
"06/13/2023","47,910.00","47,620.00","48,100.00","47,620.00","0.72K","0.95%"
"06/12/2023","47,460.00","47,080.00","47,550.00","47,080.00","0.47K","1.22%"
"06/09/2023","46,890.00","46,730.00","47,030.00","46,730.00","0.80K","0.71%"
